datasource_and_rights	type	modified	language	rights	rightsholder	accessrights	bibliographiccitation	references	institutionid	collectionid	datasetid	institutioncode	collectioncode	datasetname	ownerinstitutioncode	basisofrecord	informationwithheld	datageneralizations	dynamicproperties	occurrenceid	catalognumber	occurrenceremarks	recordnumber	recordedby	individualid	individualcount	sex	lifestage	reproductivecondition	behavior	establishmentmeans	occurrencestatus	preparations	disposition	othercatalognumbers	previousidentifications	associatedmedia	associatedreferences	associatedoccurrences	associatedsequences	associatedtaxa	eventid	samplingprotocol	samplingeffort	eventdate	eventtime	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	habitat	fieldnumber	fieldnotes	eventremarks	locationid	highergeographyid	highergeography	continent	waterbody	islandgroup	island	country	countrycode	stateprovince	county	municipality	locality	verbatimlocality	verbatimelevation	minimumelevationinmeters	maximumelevationinmeters	verbatimdepth	minimumdepthinmeters	maximumdepthinmeters	minimumdistanceabovesurfaceinmeters	maximumdistanceabovesurfaceinmeters	locationaccordingto	locationremarks	verbatimcoordinates	verbatimlatitude	verbatimlongitude	verbatimcoordinatesystem	verbatimsrs	decimallatitude	decimallongitude	geodeticdatum	coordinateuncertaintyinmeters	coordinateprecision	pointradiusspatialfit	footprintwkt	footprintsrs	footprintspatialfit	georeferencedby	georeferenceddate	georeferenceprotocol	georeferencesources	georeferenceverificationstatus	georeferenceremarks	geologicalcontextid	earliesteonorlowesteonothem	latesteonorhighesteonothem	earliesteraorlowesterathem	latesteraorhighesterathem	earliestperiodorlowestsystem	latestperiodorhighestsystem	earliestepochorlowestseries	latestepochorhighestseries	earliestageorloweststage	latestageorhigheststage	lowestbiostratigraphiczone	highestbiostratigraphiczone	lithostratigraphicterms	group	formation	member	bed	identificationid	identifiedby	dateidentified	identificationreferences	identificationverificationstatus	identificationremarks	identificationqualifier	typestatus	taxonid	scientificnameid	acceptednameusageid	parentnameusageid	originalnameusageid	nameaccordingtoid	namepublishedinid	taxonconceptid	scientificname	acceptednameusage	parentnameusage	originalnameusage	nameaccordingto	namepublishedin	namepublishedinyear	higherclassification	kingdom	phylum	class	order	family	genus	subgenus	specificepithet	infraspecificepithet	taxonrank	verbatimtaxonrank	scientificnameauthorship	vernacularname	nomenclaturalcode	taxonomicstatus	nomenclaturalstatus	taxonremarks
http://ipt.vertnet.org:8080/ipt/resource.do?r=crcm_verts		2015-04-04	en			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/crcm/birds?id=49-519	urn:lsid:biocol.org:col:34938			CRCM	Birds			PreservedSpecimen			"{""totalLengthInMM"":""197"", ""wingspanInMM"":""323"", ""weightInGrams"":""59.5"" }"		49-519			Mewaldt, L. R.			female				native	present	postcranial skeleton (complete) | skull (complete)												1949-10-02		275	275	1949	10	2	2-Oct-1949							North America | United States | Washington | Whitman |  |  |  |	North America				United States	US	Washington	Whitman		Pullman, Whitman Co., Washington	North America | United States | Washington | Whitman | Pullman, Whitman Co., Washington																46.728691	-117.179457	WGS84	5000						Kelly M Cassidy (CRCM)	30-Dec-2011	VertNet Georeferencing Guidelines	Google Map and Google Earth	requires verification																																				Porzana carolina							Aves | Gruiformes | Rallidae	Animalia	Chordata	Aves	Gruiformes	Rallidae	Porzana		carolina		species			Sora	ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=crcm_verts		2015-04-04	en			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/crcm/birds?id=669	urn:lsid:biocol.org:col:34938			CRCM	Birds			PreservedSpecimen					669	Juv.		Snodgrass, R. E.			male				native	present	skin (round)												1902-08-24		236	236	1902	8	24	24-Aug-1902							North America | United States | Washington | Whitman |  |  |  |	North America				United States	US	Washington	Whitman		Pullman, Whitman Co., Washington	North America | United States | Washington | Whitman | Pullman, Whitman Co., Washington																46.728691	-117.179457	WGS84	5000						Kelly M Cassidy (CRCM)	30-Dec-2011	VertNet Georeferencing Guidelines	Google Map and Google Earth	requires verification																																				Porzana carolina							Aves | Gruiformes | Rallidae	Animalia	Chordata	Aves	Gruiformes	Rallidae	Porzana		carolina		species			Sora	ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=crcm_verts		2015-04-04	en			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/crcm/birds?id=85-524	urn:lsid:biocol.org:col:34938			CRCM	Birds			PreservedSpecimen			"{""gonadLengthInMM_1"":""9"", ""gonadLengthInMM_2"":""6"" }"		85-524	Heavy fat, skull partially ossified, found dead on road		Kennedy, R. S.			female				native	present	skin (round)		RSK-1310										1985-09-01		244	244	1985	9	1	1-Sep-1985							North America | United States | Washington | Whitman |  |  |  |	North America				United States	US	Washington	Whitman		Stadium Way, in front of Performing Arts Coliseum, Pullman, Whitman Co., Washington	North America | United States | Washington | Whitman | Stadium Way, in front of Performing Arts Coliseum, Pullman, Whitman Co., Washington																46.734887	-117.159059	WGS84	40						Kelly M Cassidy (CRCM)	24-Aug-2012	VertNet Georeferencing Guidelines	Google Earth and Washington Delorme Atlas	requires verification																																				Porzana carolina							Aves | Gruiformes | Rallidae	Animalia	Chordata	Aves	Gruiformes	Rallidae	Porzana		carolina		species			Sora	ICZN			
http://iptsnomnh.cloudapp.net:8080/ipt/resource.do?r=birds			English		Sam Noble Oklahoma Museum of Natural History							OMNH	Birds	Birds Specimen		Preserved Specimen					11221.0			J. L. Norman			M						Skin												1976-09-28				1976	9	28	28 September 1976								North America				United States		Oklahoma	Wagoner		2 miles North of Coweta																	35.98145	-95.65023	WGS84	5108.0																																														Porzana carolina								Animalia	Chordata	Aves	Gruiformes	Rallidae	Porzana		carolina					Sora				
http://iptsnomnh.cloudapp.net:8080/ipt/resource.do?r=birds			English		Sam Noble Oklahoma Museum of Natural History							OMNH	Birds	Birds Specimen		Preserved Specimen					1172.0			K. Sneed			F						Skin												1954-05-06				1954	5	6	6 May 1954								North America				United States		Oklahoma	Murray		5 miles South of Sulphur																	34.43625	-96.97079	WGS84	8280.0																																														Porzana carolina								Animalia	Chordata	Aves	Gruiformes	Rallidae	Porzana		carolina					Sora				
http://iptsnomnh.cloudapp.net:8080/ipt/resource.do?r=birds			English		Sam Noble Oklahoma Museum of Natural History							OMNH	Birds	Birds Specimen		Preserved Specimen					12563.0			D. S. Wood			F	Immature					Skin												1977-10-25				1977	10	25	25 October 1977								North America				United States		Oklahoma	Canadian		North end of Lake Overholser																	35.5119677	-97.6794434	WGS84	1480.0																																														Porzana carolina								Animalia	Chordata	Aves	Gruiformes	Rallidae	Porzana		carolina					Sora				
http://iptsnomnh.cloudapp.net:8080/ipt/resource.do?r=birds			English		Sam Noble Oklahoma Museum of Natural History							OMNH	Birds	Birds Specimen		Preserved Specimen					13843.0			J. L. Norman			F	Immature					Skeleton												1978-09-21				1978	9	21	21 September 1978								North America				United States		Oklahoma	Wagoner		2 miles North of Coweta																	35.98145	-95.65023	WGS84	5108.0																																														Porzana carolina								Animalia	Chordata	Aves	Gruiformes	Rallidae	Porzana		carolina					Sora				
http://iptsnomnh.cloudapp.net:8080/ipt/resource.do?r=birds			English		Sam Noble Oklahoma Museum of Natural History							OMNH	Birds	Birds Specimen		Preserved Specimen					16051.0			M. Norman, S. Callagher			M						Skin												1979-09-21				1979	9	21	21 September 1979								North America				United States		Oklahoma	Wagoner		2 miles North of Coweta																	35.98145	-95.65023	WGS84	5108.0																																														Porzana carolina								Animalia	Chordata	Aves	Gruiformes	Rallidae	Porzana		carolina					Sora				
http://iptsnomnh.cloudapp.net:8080/ipt/resource.do?r=birds			English		Sam Noble Oklahoma Museum of Natural History							OMNH	Birds	Birds Specimen		Preserved Specimen					17001.0			D. S. Wood			M	Immature					Skeleton												1981-05-14				1981	5	14	14 May 1981								North America				United States		Oklahoma	Beaver		Lake Evans Chambers																	36.7234754	-100.2153969	WGS84	1000.0																																														Porzana carolina								Animalia	Chordata	Aves	Gruiformes	Rallidae	Porzana		carolina					Sora				
http://iptsnomnh.cloudapp.net:8080/ipt/resource.do?r=birds			English		Sam Noble Oklahoma Museum of Natural History							OMNH	Birds	Birds Specimen		Preserved Specimen					19601.0			J. L. Norman			M						Skeleton												1982-09-16				1982	9	16	16 September 1982								North America				United States		Oklahoma	Wagoner		2 miles North of Coweta																	35.98145	-95.65023	WGS84	5108.0																																														Porzana carolina								Animalia	Chordata	Aves	Gruiformes	Rallidae	Porzana		carolina					Sora				
