datasource_and_rights	type	modified	language	rights	rightsholder	accessrights	bibliographiccitation	references	institutionid	collectionid	datasetid	institutioncode	collectioncode	datasetname	ownerinstitutioncode	basisofrecord	informationwithheld	datageneralizations	dynamicproperties	occurrenceid	catalognumber	occurrenceremarks	recordnumber	recordedby	individualid	individualcount	sex	lifestage	reproductivecondition	behavior	establishmentmeans	occurrencestatus	preparations	disposition	othercatalognumbers	previousidentifications	associatedmedia	associatedreferences	associatedoccurrences	associatedsequences	associatedtaxa	eventid	samplingprotocol	samplingeffort	eventdate	eventtime	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	habitat	fieldnumber	fieldnotes	eventremarks	locationid	highergeographyid	highergeography	continent	waterbody	islandgroup	island	country	countrycode	stateprovince	county	municipality	locality	verbatimlocality	verbatimelevation	minimumelevationinmeters	maximumelevationinmeters	verbatimdepth	minimumdepthinmeters	maximumdepthinmeters	minimumdistanceabovesurfaceinmeters	maximumdistanceabovesurfaceinmeters	locationaccordingto	locationremarks	verbatimcoordinates	verbatimlatitude	verbatimlongitude	verbatimcoordinatesystem	verbatimsrs	decimallatitude	decimallongitude	geodeticdatum	coordinateuncertaintyinmeters	coordinateprecision	pointradiusspatialfit	footprintwkt	footprintsrs	footprintspatialfit	georeferencedby	georeferenceddate	georeferenceprotocol	georeferencesources	georeferenceverificationstatus	georeferenceremarks	geologicalcontextid	earliesteonorlowesteonothem	latesteonorhighesteonothem	earliesteraorlowesterathem	latesteraorhighesterathem	earliestperiodorlowestsystem	latestperiodorhighestsystem	earliestepochorlowestseries	latestepochorhighestseries	earliestageorloweststage	latestageorhigheststage	lowestbiostratigraphiczone	highestbiostratigraphiczone	lithostratigraphicterms	group	formation	member	bed	identificationid	identifiedby	dateidentified	identificationreferences	identificationverificationstatus	identificationremarks	identificationqualifier	typestatus	taxonid	scientificnameid	acceptednameusageid	parentnameusageid	originalnameusageid	nameaccordingtoid	namepublishedinid	taxonconceptid	scientificname	acceptednameusage	parentnameusage	originalnameusage	nameaccordingto	namepublishedin	namepublishedinyear	higherclassification	kingdom	phylum	class	order	family	genus	subgenus	specificepithet	infraspecificepithet	taxonrank	verbatimtaxonrank	scientificnameauthorship	vernacularname	nomenclaturalcode	taxonomicstatus	nomenclaturalstatus	taxonremarks
http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird		2014-12-10 18:04:42.0	en			http://vertnet.org/resources/norms.html		http://arctos.database.museum/guid/CUMV:Bird:1636	http://grbio.org/cool/i64g-wjcr			CUMV	Bird specimens			PreservedSpecimen					1636	Measurements in English units.  Extent: 13'  Length: 9 1/16'	ALR 270	Collector(s): Arthur A. Allen; Preparator(s): Austin L. Rand		1					wild caught		study skin		Trapline ID=Z1636; collector number=ALR 270; original identifier=3321	<i>Rallus limicola limicola</i> (accepted ID) identified by unknown on 1860-01-01; method: legacy									1928-10-09			283	1928	10	09	9/10/1928							North America, United States, New York, Tompkins County	North America				United States		New York	Tompkins County		Ithaca	Ithaca									unknown	town of Ithaca rather than city of Ithaca	42.4381/-76.5095			decimal degrees		42.4381	-76.5095	World Geodetic System 1984	6920.1792						unknown	2014-03-05 00:00:00.0	MaNIS georeferencing guidelines	NamedPlaceExtent: 4.32; Coordinate Source: MaNIS; Georeference Source: Terrain Navigator 6.04, 1:24,000; Georeference Date: 20070126	unverified																					unknown	1860-01-01		legacy		A										Rallus limicola limicola							Animalia; Chordata; Aves; Gruiformes; Rallidae; Rallinae;	Animalia	Chordata	Aves	Gruiformes	Rallidae	Rallus		limicola	limicola					ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird		2014-12-10 18:04:38.0	en			http://vertnet.org/resources/norms.html		http://arctos.database.museum/guid/CUMV:Bird:1639	http://grbio.org/cool/i64g-wjcr			CUMV	Bird specimens			PreservedSpecimen			age=nat. ; sex=male		1639			Collector(s): Arthur A. Allen; Preparator(s): Austin L. Rand		1	male				wild caught		study skin		Trapline ID=Z1639; original identifier=4867	<i>Rallus limicola limicola</i> (accepted ID) identified by unknown on 1860-01-01; method: legacy									1932-06-12			164	1932	06	12	12/6/1932							North America, United States, New York, Tompkins County	North America				United States		New York	Tompkins County		Ithaca	Ithaca									unknown	town of Ithaca rather than city of Ithaca	42.4381/-76.5095			decimal degrees		42.4381	-76.5095	World Geodetic System 1984	6920.1792						unknown	2014-03-05 00:00:00.0	MaNIS georeferencing guidelines	NamedPlaceExtent: 4.32; Coordinate Source: MaNIS; Georeference Source: Terrain Navigator 6.04, 1:24,000; Georeference Date: 20070126	unverified																					unknown	1860-01-01		legacy		A										Rallus limicola limicola							Animalia; Chordata; Aves; Gruiformes; Rallidae; Rallinae;	Animalia	Chordata	Aves	Gruiformes	Rallidae	Rallus		limicola	limicola					ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird		2014-12-10 18:04:57.0	en			http://vertnet.org/resources/norms.html		http://arctos.database.museum/guid/CUMV:Bird:1640	http://grbio.org/cool/i64g-wjcr			CUMV	Bird specimens			PreservedSpecimen			age=nat. ; sex=female ?		1640			Collector(s): Arthur A. Allen; Preparator(s): Austin L. Rand		1	female ?				wild caught		study skin		Trapline ID=Z1640; original identifier=4870	<i>Rallus limicola limicola</i> (accepted ID) identified by unknown on 1860-01-01; method: legacy									1932-06-12			164	1932	06	12	12/6/1932							North America, United States, New York, Tompkins County	North America				United States		New York	Tompkins County		Ithaca	Ithaca									unknown	town of Ithaca rather than city of Ithaca	42.4381/-76.5095			decimal degrees		42.4381	-76.5095	World Geodetic System 1984	6920.1792						unknown	2014-03-05 00:00:00.0	MaNIS georeferencing guidelines	NamedPlaceExtent: 4.32; Coordinate Source: MaNIS; Georeference Source: Terrain Navigator 6.04, 1:24,000; Georeference Date: 20070126	unverified																					unknown	1860-01-01		legacy		A										Rallus limicola limicola							Animalia; Chordata; Aves; Gruiformes; Rallidae; Rallinae;	Animalia	Chordata	Aves	Gruiformes	Rallidae	Rallus		limicola	limicola					ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird		2014-11-12 10:19:38.0	en			http://vertnet.org/resources/norms.html		http://arctos.database.museum/guid/CUMV:Bird:1643	http://grbio.org/cool/i64g-wjcr			CUMV	Bird specimens			PreservedSpecimen			age=imm. ; sex=male		1643			Collector(s): George C. Embody		1	male				wild caught		study skin		Trapline ID=Z1643	<i>Rallus limicola limicola</i> (accepted ID) identified by unknown on 1860-01-01; method: legacy									1909-08-06			218	1909	08	06	6/8/1909							North America, United States, New York, Tompkins County	North America				United States		New York	Tompkins County		Ithaca	Ithaca									unknown	town of Ithaca rather than city of Ithaca	42.4381/-76.5095			decimal degrees		42.4381	-76.5095	World Geodetic System 1984	6920.1792						unknown	2014-03-05 00:00:00.0	MaNIS georeferencing guidelines	NamedPlaceExtent: 4.32; Coordinate Source: MaNIS; Georeference Source: Terrain Navigator 6.04, 1:24,000; Georeference Date: 20070126	unverified																					unknown	1860-01-01		legacy		A										Rallus limicola limicola							Animalia; Chordata; Aves; Gruiformes; Rallidae; Rallinae;	Animalia	Chordata	Aves	Gruiformes	Rallidae	Rallus		limicola	limicola					ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird		2015-01-14 10:17:21.0	en			http://vertnet.org/resources/norms.html		http://arctos.database.museum/guid/CUMV:Bird:40552	http://grbio.org/cool/i64g-wjcr			CUMV	Bird specimens			PreservedSpecimen			weight=76.599998474121094 g; reproductive data=Testes=8mm. ; sex=male		40552		WCD 552	Collector(s): William C. Dilger		1	male				wild caught		skeleton		Trapline ID=Z40552; collector number=WCD 552; original identifier=552	<i>Rallus limicola</i> (accepted ID) identified by unknown on 1860-01-01; method: legacy									1952-04-15			106	1952	04	15	15/4/1952				Tag says 'Collected by Mrs. Morse.'			North America, United States, New York, Tompkins County	North America				United States		New York	Tompkins County		Caroline Township, Brooktondale	Caroline Township, Brooktondale									unknown		42.38263/-76.39509			decimal degrees		42.38263	-76.39509	World Geodetic System 1984	1461.28						unknown	2014-03-05 00:00:00.0	MaNIS georeferencing guidelines	Georeference Source: Terrain Navigator 7.03, 1:24,000; Georeference Date: 20090801	unverified																					unknown	1860-01-01		legacy		A										Rallus limicola							Animalia; Chordata; Aves; Gruiformes; Rallidae; Rallinae;	Animalia	Chordata	Aves	Gruiformes	Rallidae	Rallus		limicola						ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_bird		2014-11-12 10:19:38.0	en			http://vertnet.org/resources/norms.html		http://arctos.database.museum/guid/CUMV:Bird:47661	http://grbio.org/cool/i64g-wjcr			CUMV	Bird specimens			PreservedSpecimen			brood parasite present=no		47661			Collector(s): unknown		1					wild caught		egg shell (dry)		Trapline ID=Z47661	<i>Rallus limicola</i> (accepted ID) identified by unknown on 1860-01-01; method: legacy									1958-06-01			152	1958	06	01	1/6/1958							North America, United States, New York, Tompkins County	North America				United States		New York	Tompkins County		Ithaca	Ithaca									unknown	town of Ithaca rather than city of Ithaca	42.4381/-76.5095			decimal degrees		42.4381	-76.5095	World Geodetic System 1984	6920.1792						unknown	2014-03-05 00:00:00.0	MaNIS georeferencing guidelines	NamedPlaceExtent: 4.32; Coordinate Source: MaNIS; Georeference Source: Terrain Navigator 6.04, 1:24,000; Georeference Date: 20070126	unverified																					unknown	1860-01-01		legacy		A										Rallus limicola							Animalia; Chordata; Aves; Gruiformes; Rallidae; Rallinae;	Animalia	Chordata	Aves	Gruiformes	Rallidae	Rallus		limicola						ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=dmnh_birds			en			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/dmnh/bird?id=23854	http://biocol.org/urn:lsid:biocol.org:col:34940	http://grbio.org/cool/ywsm-eq6q		DMNH	Bird	Delaware Museum of Natural History (DMNH) Bird Collection		PreservedSpecimen					23854			Phillips, Allan R.			male	juvenile			native	present	skin												1961-09-10		253	253	1961	9	10	10Sep1961							Central America | Mexico | Mexico |  |  |  |  |	North America				Mexico	MX	México			"Almoloya del Rio, 1 mi. SW; floating ""island"" in marsh"	"Central America | Mexico | Mexico | Almoloya del Rio, 1 mi. SW; floating ""island"" in marsh"																19.1477749	-99.5005375	WGS84	1374						Woods, Jean L.	2011-8-26	VertNet Georeferencing Guidelines	BioGeomancer	verified by curator																																				Rallus limicola							Gruiformes | Rallidae | Rallus	Animalia	Chordata	Aves	Gruiformes	Rallidae	Rallus		limicola		species				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=dmnh_birds			en			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/dmnh/bird?id=35694	http://biocol.org/urn:lsid:biocol.org:col:34940	http://grbio.org/cool/ywsm-eq6q		DMNH	Bird	Delaware Museum of Natural History (DMNH) Bird Collection		PreservedSpecimen					35694			Phillips, Allan R.			male	adult			native	present	skin												1973-05-02		122	122	1973	5	2	02May1973							Central America | Mexico | Nayarit |  |  |  |  |	North America				Mexico	MX	Nayarit			Singaita, 1.75 km N; E of San Blas; marsh	Central America | Mexico | Nayarit | Singaita, 1.75 km N; E of San Blas; marsh																21.5912823	-105.2244758	WGS84	515						Woods, Jean L.	2011-10-20	VertNet Georeferencing Guidelines	BioGeomancer; Google Maps	verified by curator																																				Rallus limicola							Gruiformes | Rallidae | Rallus	Animalia	Chordata	Aves	Gruiformes	Rallidae	Rallus		limicola		species				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=dmnh_birds			en			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/dmnh/bird?id=53590	http://biocol.org/urn:lsid:biocol.org:col:34940	http://grbio.org/cool/ywsm-eq6q		DMNH	Bird	Delaware Museum of Natural History (DMNH) Bird Collection		PreservedSpecimen					53590			Schmitt, C. Greg			male	adult			native	present	skin												1974-09-01		244	244	1974	9	1	Sep1974							North America | USA | New Mexico | San Juan |  | San Juan River |  |	North America	San Juan River			United States	US	New Mexico	San Juan		Navajo Dam, 5 mi. below	North America | USA | New Mexico | San Juan | San Juan River | Navajo Dam, 5 mi. below																36.8106591	-107.6766586	WGS84	1017						Dale , Kallie	2009-4-16	VertNet Georeferencing Guidelines	BioGeomancer	verified by curator																																				Rallus limicola							Gruiformes | Rallidae | Rallus	Animalia	Chordata	Aves	Gruiformes	Rallidae	Rallus		limicola		species				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=dmnh_birds			en			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/dmnh/bird?id=54948	http://biocol.org/urn:lsid:biocol.org:col:34940	http://grbio.org/cool/ywsm-eq6q		DMNH	Bird	Delaware Museum of Natural History (DMNH) Bird Collection		PreservedSpecimen					54948			Sutton, George M			male	adult			native	present	skin												1942-04-23		113	113	1942	4	23	23Apr1942							North America | USA | Louisiana | Cameron |  |  |  |	North America				United States	US	Louisiana	Cameron		Cameron, 3 mi. E	North America | USA | Louisiana | Cameron | Cameron, 3 mi. E																29.8148191	-93.2752119	WGS84	9192						Fucci , Michelle	2009-6-8	VertNet Georeferencing Guidelines	BioGeomancer	verified by curator																																				Rallus limicola							Gruiformes | Rallidae | Rallus	Animalia	Chordata	Aves	Gruiformes	Rallidae	Rallus		limicola		species				ICZN			
